,Company,Year,Quarter,OCI L4,OCI L5,Value
24,Perth Insurance Company,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Perth Insurance Company,2018,Q3,Other,Other,0
26,Perth Insurance Company,2018,Q3,FVOCI, Equities (IFRS 9),0
27,Perth Insurance Company,2018,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Perth Insurance Company,2018,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Perth Insurance Company,2018,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Perth Insurance Company,2018,Q3,Other,Other,0
0,Perth Insurance Company,2018,Q4,0,Net Income,826
1,Perth Insurance Company,2018,Q4,FVOCI, Loans,0
2,Perth Insurance Company,2018,Q4,FVOCI, Bonds and Debentures,-136
3,Perth Insurance Company,2018,Q4,FVOCI, Equities (IAS 39),1514
4,Perth Insurance Company,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,969
5,Perth Insurance Company,2018,Q4,Overlay Approach,Unrealized Gains and Losses,0
6,Perth Insurance Company,2018,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Perth Insurance Company,2018,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Perth Insurance Company,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Perth Insurance Company,2018,Q4,FX Translation,Change in Unrealized Gains and Losses,0
10,Perth Insurance Company,2018,Q4,FX Translation,Impact of Hedging,0
11,Perth Insurance Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Perth Insurance Company,2018,Q4,Other,Other,0
13,Perth Insurance Company,2018,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,2791
14,Perth Insurance Company,2018,Q4,Revaluation Surplus, Equities (IFRS 9),0
15,Perth Insurance Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Perth Insurance Company,2018,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Perth Insurance Company,2018,Q4,Other,Remeasurements of Defined Benefit Plans,0
18,Perth Insurance Company,2018,Q4,N/A,Other,0
19,Perth Insurance Company,2018,Q4,N/A,Equity Holders,3621
20,Perth Insurance Company,2018,Q4,FVOCI, Loans,0
21,Perth Insurance Company,2018,Q4,FVOCI, Bonds and Debentures,-253
22,Perth Insurance Company,2018,Q4,FVOCI, Equities (IAS 39),-940
23,Perth Insurance Company,2018,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Perth Insurance Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Perth Insurance Company,2018,Q4,Other,Other,0
26,Perth Insurance Company,2018,Q4,FVOCI, Equities (IFRS 9),0
27,Perth Insurance Company,2018,Q4,Revaluation Surplus,Revaluation Surplus,0
28,Perth Insurance Company,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Perth Insurance Company,2018,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Perth Insurance Company,2018,Q4,Other,Other,0
0,Petline Insurance Company,2020,Q1,0,Net Income,656
1,Petline Insurance Company,2020,Q1,FVOCI, Loans,0
2,Petline Insurance Company,2020,Q1,FVOCI, Bonds and Debentures,180
3,Petline Insurance Company,2020,Q1,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2020,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2020,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2020,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2020,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2020,Q1,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2020,Q1,Other,Other,0
13,Petline Insurance Company,2020,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,180
14,Petline Insurance Company,2020,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2020,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2020,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2020,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2020,Q1,N/A,Other,0
19,Petline Insurance Company,2020,Q1,N/A,Equity Holders,836
20,Petline Insurance Company,2020,Q1,FVOCI, Loans,0
21,Petline Insurance Company,2020,Q1,FVOCI, Bonds and Debentures,122
22,Petline Insurance Company,2020,Q1,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2020,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2020,Q1,Other,Other,0
26,Petline Insurance Company,2020,Q1,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2020,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2020,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2020,Q1,Other,Other,0
0,Petline Insurance Company,2020,Q2,0,Net Income,976
1,Petline Insurance Company,2020,Q2,FVOCI, Loans,0
2,Petline Insurance Company,2020,Q2,FVOCI, Bonds and Debentures,4
3,Petline Insurance Company,2020,Q2,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2020,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2020,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2020,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2020,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2020,Q2,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2020,Q2,Other,Other,0
13,Petline Insurance Company,2020,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,4
14,Petline Insurance Company,2020,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2020,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2020,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2020,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2020,Q2,N/A,Other,0
19,Petline Insurance Company,2020,Q2,N/A,Equity Holders,980
20,Petline Insurance Company,2020,Q2,FVOCI, Loans,0
21,Petline Insurance Company,2020,Q2,FVOCI, Bonds and Debentures,4
22,Petline Insurance Company,2020,Q2,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2020,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2020,Q2,Other,Other,0
26,Petline Insurance Company,2020,Q2,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2020,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2020,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2020,Q2,Other,Other,0
0,Petline Insurance Company,2020,Q3,0,Net Income,1921
1,Petline Insurance Company,2020,Q3,FVOCI, Loans,0
2,Petline Insurance Company,2020,Q3,FVOCI, Bonds and Debentures,154
3,Petline Insurance Company,2020,Q3,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2020,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2020,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2020,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2020,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2020,Q3,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2020,Q3,Other,Other,0
13,Petline Insurance Company,2020,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,154
14,Petline Insurance Company,2020,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2020,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2020,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2020,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2020,Q3,N/A,Other,0
19,Petline Insurance Company,2020,Q3,N/A,Equity Holders,2075
20,Petline Insurance Company,2020,Q3,FVOCI, Loans,0
21,Petline Insurance Company,2020,Q3,FVOCI, Bonds and Debentures,96
22,Petline Insurance Company,2020,Q3,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2020,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2020,Q3,Other,Other,0
26,Petline Insurance Company,2020,Q3,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2020,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2020,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2020,Q3,Other,Other,0
0,Petline Insurance Company,2019,Q1,0,Net Income,635
1,Petline Insurance Company,2019,Q1,FVOCI, Loans,0
2,Petline Insurance Company,2019,Q1,FVOCI, Bonds and Debentures,97
3,Petline Insurance Company,2019,Q1,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2019,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2019,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2019,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2019,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2019,Q1,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2019,Q1,Other,Other,0
13,Petline Insurance Company,2019,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,97
14,Petline Insurance Company,2019,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2019,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2019,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2019,Q1,N/A,Other,0
19,Petline Insurance Company,2019,Q1,N/A,Equity Holders,732
20,Petline Insurance Company,2019,Q1,FVOCI, Loans,0
21,Petline Insurance Company,2019,Q1,FVOCI, Bonds and Debentures,72
22,Petline Insurance Company,2019,Q1,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2019,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2019,Q1,Other,Other,0
26,Petline Insurance Company,2019,Q1,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2019,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2019,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2019,Q1,Other,Other,0
0,Petline Insurance Company,2019,Q2,0,Net Income,506
1,Petline Insurance Company,2019,Q2,FVOCI, Loans,0
2,Petline Insurance Company,2019,Q2,FVOCI, Bonds and Debentures,28
3,Petline Insurance Company,2019,Q2,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2019,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2019,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2019,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2019,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2019,Q2,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2019,Q2,Other,Other,0
13,Petline Insurance Company,2019,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,28
14,Petline Insurance Company,2019,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2019,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2019,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2019,Q2,N/A,Other,0
19,Petline Insurance Company,2019,Q2,N/A,Equity Holders,534
20,Petline Insurance Company,2019,Q2,FVOCI, Loans,0
21,Petline Insurance Company,2019,Q2,FVOCI, Bonds and Debentures,-28
22,Petline Insurance Company,2019,Q2,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2019,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2019,Q2,Other,Other,0
26,Petline Insurance Company,2019,Q2,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2019,Q2,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2019,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2019,Q2,Other,Other,0
0,Petline Insurance Company,2019,Q3,0,Net Income,1320
1,Petline Insurance Company,2019,Q3,FVOCI, Loans,0
2,Petline Insurance Company,2019,Q3,FVOCI, Bonds and Debentures,89
3,Petline Insurance Company,2019,Q3,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2019,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2019,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2019,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2019,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2019,Q3,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2019,Q3,Other,Other,0
13,Petline Insurance Company,2019,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,89
14,Petline Insurance Company,2019,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2019,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2019,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2019,Q3,N/A,Other,0
19,Petline Insurance Company,2019,Q3,N/A,Equity Holders,1409
20,Petline Insurance Company,2019,Q3,FVOCI, Loans,0
21,Petline Insurance Company,2019,Q3,FVOCI, Bonds and Debentures,79
22,Petline Insurance Company,2019,Q3,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2019,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2019,Q3,Other,Other,0
26,Petline Insurance Company,2019,Q3,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2019,Q3,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2019,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2019,Q3,Other,Other,0
0,Petline Insurance Company,2019,Q4,0,Net Income,1209
1,Petline Insurance Company,2019,Q4,FVOCI, Loans,0
2,Petline Insurance Company,2019,Q4,FVOCI, Bonds and Debentures,22
3,Petline Insurance Company,2019,Q4,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
5,Petline Insurance Company,2019,Q4,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2019,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2019,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2019,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2019,Q4,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2019,Q4,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2019,Q4,Other,Other,0
13,Petline Insurance Company,2019,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,22
14,Petline Insurance Company,2019,Q4,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2019,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2019,Q4,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2019,Q4,N/A,Other,0
19,Petline Insurance Company,2019,Q4,N/A,Equity Holders,1231
20,Petline Insurance Company,2019,Q4,FVOCI, Loans,0
21,Petline Insurance Company,2019,Q4,FVOCI, Bonds and Debentures,-21
22,Petline Insurance Company,2019,Q4,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2019,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2019,Q4,Other,Other,0
26,Petline Insurance Company,2019,Q4,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2019,Q4,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2019,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2019,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2019,Q4,Other,Other,0
0,Petline Insurance Company,2018,Q1,0,Net Income,887
1,Petline Insurance Company,2018,Q1,FVOCI, Loans,0
2,Petline Insurance Company,2018,Q1,FVOCI, Bonds and Debentures,40
3,Petline Insurance Company,2018,Q1,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,36
5,Petline Insurance Company,2018,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2018,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2018,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2018,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2018,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2018,Q1,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2018,Q1,Other,Other,0
13,Petline Insurance Company,2018,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,4
14,Petline Insurance Company,2018,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2018,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2018,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2018,Q1,N/A,Other,0
19,Petline Insurance Company,2018,Q1,N/A,Equity Holders,883
20,Petline Insurance Company,2018,Q1,FVOCI, Loans,0
21,Petline Insurance Company,2018,Q1,FVOCI, Bonds and Debentures,249
22,Petline Insurance Company,2018,Q1,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2018,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2018,Q1,Other,Other,0
26,Petline Insurance Company,2018,Q1,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2018,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Petline Insurance Company,2018,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Petline Insurance Company,2018,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,Petline Insurance Company,2018,Q1,Other,Other,0
0,Petline Insurance Company,2018,Q2,0,Net Income,805
1,Petline Insurance Company,2018,Q2,FVOCI, Loans,0
2,Petline Insurance Company,2018,Q2,FVOCI, Bonds and Debentures,0
3,Petline Insurance Company,2018,Q2,FVOCI, Equities (IAS 39),0
4,Petline Insurance Company,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,1
5,Petline Insurance Company,2018,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,Petline Insurance Company,2018,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,Petline Insurance Company,2018,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Petline Insurance Company,2018,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Petline Insurance Company,2018,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,Petline Insurance Company,2018,Q2,FX Translation,Impact of Hedging,0
11,Petline Insurance Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,Petline Insurance Company,2018,Q2,Other,Other,0
13,Petline Insurance Company,2018,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-1
14,Petline Insurance Company,2018,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,Petline Insurance Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Petline Insurance Company,2018,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Petline Insurance Company,2018,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,Petline Insurance Company,2018,Q2,N/A,Other,0
19,Petline Insurance Company,2018,Q2,N/A,Equity Holders,806
20,Petline Insurance Company,2018,Q2,FVOCI, Loans,0
21,Petline Insurance Company,2018,Q2,FVOCI, Bonds and Debentures,-1
22,Petline Insurance Company,2018,Q2,FVOCI, Equities (IAS 39),0
23,Petline Insurance Company,2018,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,Petline Insurance Company,2018,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,Petline Insurance Company,2018,Q2,Other,Other,0
26,Petline Insurance Company,2018,Q2,FVOCI, Equities (IFRS 9),0
27,Petline Insurance Company,2018,Q2,Revaluation Surplus,Revaluation Surplus,0
