,Company,Year,Quarter,SOI L1,SOI L2,SOI L3,Value
3,Gore Mutual Insurance Company,2019,Q4,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-7998
4,Gore Mutual Insurance Company,2019,Q4,Revenue,Net Premiums Earned,Service Charges ,1425
5,Gore Mutual Insurance Company,2019,Q4,Revenue,Net Premiums Earned,Other ,0
6,Gore Mutual Insurance Company,2019,Q4,Cost,Gross Claims,Gross Claims and Adjustment Expenses,132456
7,Gore Mutual Insurance Company,2019,Q4,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,-800
8,Gore Mutual Insurance Company,2019,Q4,Cost,Acquisition Expenses,Gross Commissions,43630
9,Gore Mutual Insurance Company,2019,Q4,Revenue,Acquisition Expenses,Ceded Commissions,927
10,Gore Mutual Insurance Company,2019,Q4,Cost,Acquisition Expenses,Taxes,7823
11,Gore Mutual Insurance Company,2019,Q4,Cost,Acquisition Expenses,Other ,0
12,Gore Mutual Insurance Company,2019,Q4,Cost,General Expenses,General Expenses ,29968
13,Gore Mutual Insurance Company,2019,Q4,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Gore Mutual Insurance Company,2019,Q4,Investment Income,Investment Operations,Income,12291
15,Gore Mutual Insurance Company,2019,Q4,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Gore Mutual Insurance Company,2019,Q4,Investment Income,Investment Operations,Realized Gains (Losses),-6
17,Gore Mutual Insurance Company,2019,Q4,Investment Costs,Investment Operations,Expenses,1627
18,Gore Mutual Insurance Company,2019,Q4,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,0
19,Gore Mutual Insurance Company,2019,Q4,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",322
20,Gore Mutual Insurance Company,2019,Q4,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Gore Mutual Insurance Company,2019,Q4,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Gore Mutual Insurance Company,2019,Q4,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Gore Mutual Insurance Company,2019,Q4,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Gore Mutual Insurance Company,2019,Q4,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Gore Mutual Insurance Company,2019,Q4,Other Costs,Other Revenue/Expenses,Other Expenses,10409
26,Gore Mutual Insurance Company,2019,Q4,Tax,Tax,Current,5644
27,Gore Mutual Insurance Company,2019,Q4,Tax,Tax,Deferred,3188
28,Gore Mutual Insurance Company,2019,Q4,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Gore Mutual Insurance Company,2019,Q4,Equity Holders,Equity Breakdown,Equity Holders,8153
0,Gore Mutual Insurance Company,2018,Q1,Revenue,Premiums Written,Direct,92296
1,Gore Mutual Insurance Company,2018,Q1,Revenue,Premiums Written,Reinsurance Assumed,0
2,Gore Mutual Insurance Company,2018,Q1,Cost,Premiums Written,Reinsurance Ceded,4767
3,Gore Mutual Insurance Company,2018,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,16166
4,Gore Mutual Insurance Company,2018,Q1,Revenue,Net Premiums Earned,Service Charges ,1623
5,Gore Mutual Insurance Company,2018,Q1,Revenue,Net Premiums Earned,Other ,1
6,Gore Mutual Insurance Company,2018,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,75003
7,Gore Mutual Insurance Company,2018,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,493
8,Gore Mutual Insurance Company,2018,Q1,Cost,Acquisition Expenses,Gross Commissions,20914
9,Gore Mutual Insurance Company,2018,Q1,Revenue,Acquisition Expenses,Ceded Commissions,275
10,Gore Mutual Insurance Company,2018,Q1,Cost,Acquisition Expenses,Taxes,3713
11,Gore Mutual Insurance Company,2018,Q1,Cost,Acquisition Expenses,Other ,1
12,Gore Mutual Insurance Company,2018,Q1,Cost,General Expenses,General Expenses ,10193
13,Gore Mutual Insurance Company,2018,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Gore Mutual Insurance Company,2018,Q1,Investment Income,Investment Operations,Income,4349
15,Gore Mutual Insurance Company,2018,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Gore Mutual Insurance Company,2018,Q1,Investment Income,Investment Operations,Realized Gains (Losses),9613
17,Gore Mutual Insurance Company,2018,Q1,Investment Costs,Investment Operations,Expenses,555
18,Gore Mutual Insurance Company,2018,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,0
19,Gore Mutual Insurance Company,2018,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Gore Mutual Insurance Company,2018,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Gore Mutual Insurance Company,2018,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Gore Mutual Insurance Company,2018,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Gore Mutual Insurance Company,2018,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Gore Mutual Insurance Company,2018,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Gore Mutual Insurance Company,2018,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Gore Mutual Insurance Company,2018,Q1,Tax,Tax,Current,1985
27,Gore Mutual Insurance Company,2018,Q1,Tax,Tax,Deferred,0
28,Gore Mutual Insurance Company,2018,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Gore Mutual Insurance Company,2018,Q1,Equity Holders,Equity Breakdown,Equity Holders,6701
0,Gore Mutual Insurance Company,2018,Q2,Revenue,Premiums Written,Direct,120115
1,Gore Mutual Insurance Company,2018,Q2,Revenue,Premiums Written,Reinsurance Assumed,0
2,Gore Mutual Insurance Company,2018,Q2,Cost,Premiums Written,Reinsurance Ceded,5996
3,Gore Mutual Insurance Company,2018,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-10639
4,Gore Mutual Insurance Company,2018,Q2,Revenue,Net Premiums Earned,Service Charges ,4890
5,Gore Mutual Insurance Company,2018,Q2,Revenue,Net Premiums Earned,Other ,0
6,Gore Mutual Insurance Company,2018,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,89561
7,Gore Mutual Insurance Company,2018,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,9534
8,Gore Mutual Insurance Company,2018,Q2,Cost,Acquisition Expenses,Gross Commissions,20943
9,Gore Mutual Insurance Company,2018,Q2,Revenue,Acquisition Expenses,Ceded Commissions,292
10,Gore Mutual Insurance Company,2018,Q2,Cost,Acquisition Expenses,Taxes,3744
11,Gore Mutual Insurance Company,2018,Q2,Cost,Acquisition Expenses,Other ,-1
12,Gore Mutual Insurance Company,2018,Q2,Cost,General Expenses,General Expenses ,14798
13,Gore Mutual Insurance Company,2018,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Gore Mutual Insurance Company,2018,Q2,Investment Income,Investment Operations,Income,4433
15,Gore Mutual Insurance Company,2018,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Gore Mutual Insurance Company,2018,Q2,Investment Income,Investment Operations,Realized Gains (Losses),-1228
17,Gore Mutual Insurance Company,2018,Q2,Investment Costs,Investment Operations,Expenses,625
18,Gore Mutual Insurance Company,2018,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,0
19,Gore Mutual Insurance Company,2018,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Gore Mutual Insurance Company,2018,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Gore Mutual Insurance Company,2018,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Gore Mutual Insurance Company,2018,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Gore Mutual Insurance Company,2018,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Gore Mutual Insurance Company,2018,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Gore Mutual Insurance Company,2018,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Gore Mutual Insurance Company,2018,Q2,Tax,Tax,Current,-1984
27,Gore Mutual Insurance Company,2018,Q2,Tax,Tax,Deferred,0
28,Gore Mutual Insurance Company,2018,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Gore Mutual Insurance Company,2018,Q2,Equity Holders,Equity Breakdown,Equity Holders,-5303
0,Gore Mutual Insurance Company,2018,Q3,Revenue,Premiums Written,Direct,208209
1,Gore Mutual Insurance Company,2018,Q3,Revenue,Premiums Written,Reinsurance Assumed,0
2,Gore Mutual Insurance Company,2018,Q3,Cost,Premiums Written,Reinsurance Ceded,11409
3,Gore Mutual Insurance Company,2018,Q3,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,11088
4,Gore Mutual Insurance Company,2018,Q3,Revenue,Net Premiums Earned,Service Charges ,4603
5,Gore Mutual Insurance Company,2018,Q3,Revenue,Net Premiums Earned,Other ,1
6,Gore Mutual Insurance Company,2018,Q3,Cost,Gross Claims,Gross Claims and Adjustment Expenses,153138
7,Gore Mutual Insurance Company,2018,Q3,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,6620
8,Gore Mutual Insurance Company,2018,Q3,Cost,Acquisition Expenses,Gross Commissions,41585
9,Gore Mutual Insurance Company,2018,Q3,Revenue,Acquisition Expenses,Ceded Commissions,566
10,Gore Mutual Insurance Company,2018,Q3,Cost,Acquisition Expenses,Taxes,7481
11,Gore Mutual Insurance Company,2018,Q3,Cost,Acquisition Expenses,Other ,1
12,Gore Mutual Insurance Company,2018,Q3,Cost,General Expenses,General Expenses ,22751
13,Gore Mutual Insurance Company,2018,Q3,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Gore Mutual Insurance Company,2018,Q3,Investment Income,Investment Operations,Income,8134
15,Gore Mutual Insurance Company,2018,Q3,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Gore Mutual Insurance Company,2018,Q3,Investment Income,Investment Operations,Realized Gains (Losses),9556
17,Gore Mutual Insurance Company,2018,Q3,Investment Costs,Investment Operations,Expenses,1406
18,Gore Mutual Insurance Company,2018,Q3,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,0
19,Gore Mutual Insurance Company,2018,Q3,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Gore Mutual Insurance Company,2018,Q3,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Gore Mutual Insurance Company,2018,Q3,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Gore Mutual Insurance Company,2018,Q3,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Gore Mutual Insurance Company,2018,Q3,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Gore Mutual Insurance Company,2018,Q3,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Gore Mutual Insurance Company,2018,Q3,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Gore Mutual Insurance Company,2018,Q3,Tax,Tax,Current,2032
27,Gore Mutual Insurance Company,2018,Q3,Tax,Tax,Deferred,0
28,Gore Mutual Insurance Company,2018,Q3,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Gore Mutual Insurance Company,2018,Q3,Equity Holders,Equity Breakdown,Equity Holders,7188
0,Gore Mutual Insurance Company,2018,Q4,Revenue,Premiums Written,Direct,234003
1,Gore Mutual Insurance Company,2018,Q4,Revenue,Premiums Written,Reinsurance Assumed,0
2,Gore Mutual Insurance Company,2018,Q4,Cost,Premiums Written,Reinsurance Ceded,11907
3,Gore Mutual Insurance Company,2018,Q4,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-7614
4,Gore Mutual Insurance Company,2018,Q4,Revenue,Net Premiums Earned,Service Charges ,-1346
5,Gore Mutual Insurance Company,2018,Q4,Revenue,Net Premiums Earned,Other ,-1
6,Gore Mutual Insurance Company,2018,Q4,Cost,Gross Claims,Gross Claims and Adjustment Expenses,131318
7,Gore Mutual Insurance Company,2018,Q4,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,2676
8,Gore Mutual Insurance Company,2018,Q4,Cost,Acquisition Expenses,Gross Commissions,41513
9,Gore Mutual Insurance Company,2018,Q4,Revenue,Acquisition Expenses,Ceded Commissions,887
10,Gore Mutual Insurance Company,2018,Q4,Cost,Acquisition Expenses,Taxes,7472
11,Gore Mutual Insurance Company,2018,Q4,Cost,Acquisition Expenses,Other ,-1
12,Gore Mutual Insurance Company,2018,Q4,Cost,General Expenses,General Expenses ,22072
13,Gore Mutual Insurance Company,2018,Q4,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Gore Mutual Insurance Company,2018,Q4,Investment Income,Investment Operations,Income,10366
15,Gore Mutual Insurance Company,2018,Q4,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Gore Mutual Insurance Company,2018,Q4,Investment Income,Investment Operations,Realized Gains (Losses),-215
17,Gore Mutual Insurance Company,2018,Q4,Investment Costs,Investment Operations,Expenses,1449
18,Gore Mutual Insurance Company,2018,Q4,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,0
19,Gore Mutual Insurance Company,2018,Q4,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",629
20,Gore Mutual Insurance Company,2018,Q4,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Gore Mutual Insurance Company,2018,Q4,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Gore Mutual Insurance Company,2018,Q4,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Gore Mutual Insurance Company,2018,Q4,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Gore Mutual Insurance Company,2018,Q4,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Gore Mutual Insurance Company,2018,Q4,Other Costs,Other Revenue/Expenses,Other Expenses,250
26,Gore Mutual Insurance Company,2018,Q4,Tax,Tax,Current,4691
27,Gore Mutual Insurance Company,2018,Q4,Tax,Tax,Deferred,604
28,Gore Mutual Insurance Company,2018,Q4,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Gore Mutual Insurance Company,2018,Q4,Equity Holders,Equity Breakdown,Equity Holders,14156
0,Green Shield Canada,2020,Q1,Revenue,Premiums Written,Direct,158480
1,Green Shield Canada,2020,Q1,Revenue,Premiums Written,Reinsurance Assumed,0
2,Green Shield Canada,2020,Q1,Cost,Premiums Written,Reinsurance Ceded,4298
3,Green Shield Canada,2020,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,0
4,Green Shield Canada,2020,Q1,Revenue,Net Premiums Earned,Service Charges ,0
5,Green Shield Canada,2020,Q1,Revenue,Net Premiums Earned,Other ,1182
6,Green Shield Canada,2020,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,125828
7,Green Shield Canada,2020,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,3680
8,Green Shield Canada,2020,Q1,Cost,Acquisition Expenses,Gross Commissions,4476
9,Green Shield Canada,2020,Q1,Revenue,Acquisition Expenses,Ceded Commissions,0
10,Green Shield Canada,2020,Q1,Cost,Acquisition Expenses,Taxes,2625
11,Green Shield Canada,2020,Q1,Cost,Acquisition Expenses,Other ,0
12,Green Shield Canada,2020,Q1,Cost,General Expenses,General Expenses ,17909
13,Green Shield Canada,2020,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Green Shield Canada,2020,Q1,Investment Income,Investment Operations,Income,18526
15,Green Shield Canada,2020,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Green Shield Canada,2020,Q1,Investment Income,Investment Operations,Realized Gains (Losses),30446
17,Green Shield Canada,2020,Q1,Investment Costs,Investment Operations,Expenses,604
18,Green Shield Canada,2020,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,2217
19,Green Shield Canada,2020,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Green Shield Canada,2020,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Green Shield Canada,2020,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Green Shield Canada,2020,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Green Shield Canada,2020,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Green Shield Canada,2020,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Green Shield Canada,2020,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Green Shield Canada,2020,Q1,Tax,Tax,Current,0
27,Green Shield Canada,2020,Q1,Tax,Tax,Deferred,0
28,Green Shield Canada,2020,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Green Shield Canada,2020,Q1,Equity Holders,Equity Breakdown,Equity Holders,8899
0,Green Shield Canada,2020,Q2,Revenue,Premiums Written,Direct,104448
1,Green Shield Canada,2020,Q2,Revenue,Premiums Written,Reinsurance Assumed,0
2,Green Shield Canada,2020,Q2,Cost,Premiums Written,Reinsurance Ceded,2753
3,Green Shield Canada,2020,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,0
4,Green Shield Canada,2020,Q2,Revenue,Net Premiums Earned,Service Charges ,0
5,Green Shield Canada,2020,Q2,Revenue,Net Premiums Earned,Other ,7637
6,Green Shield Canada,2020,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,72262
7,Green Shield Canada,2020,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,1296
8,Green Shield Canada,2020,Q2,Cost,Acquisition Expenses,Gross Commissions,3924
9,Green Shield Canada,2020,Q2,Revenue,Acquisition Expenses,Ceded Commissions,0
10,Green Shield Canada,2020,Q2,Cost,Acquisition Expenses,Taxes,1885
11,Green Shield Canada,2020,Q2,Cost,Acquisition Expenses,Other ,0
12,Green Shield Canada,2020,Q2,Cost,General Expenses,General Expenses ,13690
13,Green Shield Canada,2020,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Green Shield Canada,2020,Q2,Investment Income,Investment Operations,Income,3618
15,Green Shield Canada,2020,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Green Shield Canada,2020,Q2,Investment Income,Investment Operations,Realized Gains (Losses),-30372
17,Green Shield Canada,2020,Q2,Investment Costs,Investment Operations,Expenses,727
18,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,1110
19,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Green Shield Canada,2020,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Green Shield Canada,2020,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Green Shield Canada,2020,Q2,Tax,Tax,Current,0
27,Green Shield Canada,2020,Q2,Tax,Tax,Deferred,0
28,Green Shield Canada,2020,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Green Shield Canada,2020,Q2,Equity Holders,Equity Breakdown,Equity Holders,18096
0,Green Shield Canada,2020,Q2,Revenue,Premiums Written,Direct,158480
1,Green Shield Canada,2020,Q2,Revenue,Premiums Written,Reinsurance Assumed,0
2,Green Shield Canada,2020,Q2,Cost,Premiums Written,Reinsurance Ceded,4298
3,Green Shield Canada,2020,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,0
4,Green Shield Canada,2020,Q2,Revenue,Net Premiums Earned,Service Charges ,0
5,Green Shield Canada,2020,Q2,Revenue,Net Premiums Earned,Other ,1182
6,Green Shield Canada,2020,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,125828
7,Green Shield Canada,2020,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,3680
8,Green Shield Canada,2020,Q2,Cost,Acquisition Expenses,Gross Commissions,4476
9,Green Shield Canada,2020,Q2,Revenue,Acquisition Expenses,Ceded Commissions,0
10,Green Shield Canada,2020,Q2,Cost,Acquisition Expenses,Taxes,2625
11,Green Shield Canada,2020,Q2,Cost,Acquisition Expenses,Other ,0
12,Green Shield Canada,2020,Q2,Cost,General Expenses,General Expenses ,17909
13,Green Shield Canada,2020,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Green Shield Canada,2020,Q2,Investment Income,Investment Operations,Income,18526
15,Green Shield Canada,2020,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Green Shield Canada,2020,Q2,Investment Income,Investment Operations,Realized Gains (Losses),30446
17,Green Shield Canada,2020,Q2,Investment Costs,Investment Operations,Expenses,604
18,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,2217
19,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Green Shield Canada,2020,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Green Shield Canada,2020,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Green Shield Canada,2020,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Green Shield Canada,2020,Q2,Tax,Tax,Current,0
27,Green Shield Canada,2020,Q2,Tax,Tax,Deferred,0
28,Green Shield Canada,2020,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Green Shield Canada,2020,Q2,Equity Holders,Equity Breakdown,Equity Holders,8899
0,Green Shield Canada,2019,Q1,Revenue,Premiums Written,Direct,147503
1,Green Shield Canada,2019,Q1,Revenue,Premiums Written,Reinsurance Assumed,0
2,Green Shield Canada,2019,Q1,Cost,Premiums Written,Reinsurance Ceded,4024
3,Green Shield Canada,2019,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,0
4,Green Shield Canada,2019,Q1,Revenue,Net Premiums Earned,Service Charges ,0
5,Green Shield Canada,2019,Q1,Revenue,Net Premiums Earned,Other ,2677
6,Green Shield Canada,2019,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,127376
7,Green Shield Canada,2019,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,4696
8,Green Shield Canada,2019,Q1,Cost,Acquisition Expenses,Gross Commissions,4299
9,Green Shield Canada,2019,Q1,Revenue,Acquisition Expenses,Ceded Commissions,0
10,Green Shield Canada,2019,Q1,Cost,Acquisition Expenses,Taxes,2493
11,Green Shield Canada,2019,Q1,Cost,Acquisition Expenses,Other ,0
12,Green Shield Canada,2019,Q1,Cost,General Expenses,General Expenses ,17792
13,Green Shield Canada,2019,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Green Shield Canada,2019,Q1,Investment Income,Investment Operations,Income,5871
15,Green Shield Canada,2019,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,0
16,Green Shield Canada,2019,Q1,Investment Income,Investment Operations,Realized Gains (Losses),29178
17,Green Shield Canada,2019,Q1,Investment Costs,Investment Operations,Expenses,618
18,Green Shield Canada,2019,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,1325
19,Green Shield Canada,2019,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",0
20,Green Shield Canada,2019,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),0
21,Green Shield Canada,2019,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,0
22,Green Shield Canada,2019,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,0
23,Green Shield Canada,2019,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,0
24,Green Shield Canada,2019,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,0
25,Green Shield Canada,2019,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,0
26,Green Shield Canada,2019,Q1,Tax,Tax,Current,0
27,Green Shield Canada,2019,Q1,Tax,Tax,Deferred,0
28,Green Shield Canada,2019,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Green Shield Canada,2019,Q1,Equity Holders,Equity Breakdown,Equity Holders,26644
0,Green Shield Canada,2019,Q2,Revenue,Premiums Written,Direct,153126
1,Green Shield Canada,2019,Q2,Revenue,Premiums Written,Reinsurance Assumed,0
2,Green Shield Canada,2019,Q2,Cost,Premiums Written,Reinsurance Ceded,4169
3,Green Shield Canada,2019,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,0
4,Green Shield Canada,2019,Q2,Revenue,Net Premiums Earned,Service Charges ,0
5,Green Shield Canada,2019,Q2,Revenue,Net Premiums Earned,Other ,128
6,Green Shield Canada,2019,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,128173
7,Green Shield Canada,2019,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,3055
8,Green Shield Canada,2019,Q2,Cost,Acquisition Expenses,Gross Commissions,3173
