,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
9,Pilot Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,1
10,Pilot Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Equity risk,0
11,Pilot Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Pilot Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Pilot Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"3,335"
14,Pilot Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"2,139"
15,Pilot Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,16
16,Pilot Insurance Company,2018,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"4,343"
17,Pilot Insurance Company,2018,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"2,511"
18,Pilot Insurance Company,2018,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"25,567"
19,Pilot Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"149,871"
1,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"16,327"
5,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"18,197"
6,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,15
8,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,"5,228"
9,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Equity risk,"18,419"
11,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,627
12,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,103
13,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"5,181"
14,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"12,050"
17,The Portage la Prairie Mutual Insurance Company,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,532"
18,The Portage la Prairie Mutual Insurance Company,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"45,077"
19,The Portage la Prairie Mutual Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"149,094"
1,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"14,596"
5,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"17,958"
6,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,"5,542"
9,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Equity risk,"17,570"
11,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,638
12,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,102
13,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,951"
14,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"11,611"
17,The Portage la Prairie Mutual Insurance Company,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,187"
18,The Portage la Prairie Mutual Insurance Company,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"43,187"
19,The Portage la Prairie Mutual Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"137,141"
1,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"13,412"
5,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"17,500"
6,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,"3,308"
9,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Equity risk,"16,790"
11,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,649
12,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,99
13,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,553"
14,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"11,008"
17,The Portage la Prairie Mutual Insurance Company,2020,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,466"
18,The Portage la Prairie Mutual Insurance Company,2020,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"39,902"
19,The Portage la Prairie Mutual Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"145,260"
1,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2019,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"14,208"
5,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"17,751"
6,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,2
8,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,"4,565"
9,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Equity risk,"21,916"
11,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,241
12,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,532
13,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,965"
14,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"11,490"
17,The Portage la Prairie Mutual Insurance Company,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,598"
18,The Portage la Prairie Mutual Insurance Company,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"44,715"
19,The Portage la Prairie Mutual Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"139,355"
1,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"15,320"
5,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"18,773"
6,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,14
8,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,"4,464"
9,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Equity risk,"21,632"
11,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,680
12,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,117
13,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,966"
14,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"11,465"
17,The Portage la Prairie Mutual Insurance Company,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,827"
18,The Portage la Prairie Mutual Insurance Company,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"45,736"
19,The Portage la Prairie Mutual Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"147,262"
1,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"13,572"
5,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"17,318"
6,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,2
8,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,"4,354"
9,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Equity risk,"20,776"
11,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,523
12,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,131
13,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,917"
14,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"10,922"
17,The Portage la Prairie Mutual Insurance Company,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,252"
18,The Portage la Prairie Mutual Insurance Company,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"42,842"
19,The Portage la Prairie Mutual Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"144,117"
1,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"11,746"
5,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"18,161"
6,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,13
8,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,"4,066"
9,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Equity risk,"20,187"
11,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,535
12,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,143
13,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,628"
14,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"10,584"
17,The Portage la Prairie Mutual Insurance Company,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,968"
18,The Portage la Prairie Mutual Insurance Company,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"41,397"
19,The Portage la Prairie Mutual Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"134,188"
1,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"12,693"
5,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"17,992"
6,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,13
8,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,"3,333"
9,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Equity risk,"18,258"
11,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,244
12,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,141
13,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,271"
14,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"10,257"
17,The Portage la Prairie Mutual Insurance Company,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,579"
18,The Portage la Prairie Mutual Insurance Company,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"39,749"
19,The Portage la Prairie Mutual Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"129,969"
1,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"14,277"
5,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"19,378"
6,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,"2,999"
9,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Equity risk,"19,417"
11,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,245
12,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,148
13,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,547"
14,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"10,511"
17,The Portage la Prairie Mutual Insurance Company,2018,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,080"
18,The Portage la Prairie Mutual Insurance Company,2018,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"42,295"
19,The Portage la Prairie Mutual Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"132,845"
1,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2018,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"13,085"
5,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"19,127"
6,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Interest rate risk,"3,472"
9,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Equity risk,"19,328"
11,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Real estate risk,237
12,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Other market risk exposures,162
13,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,830"
14,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"10,377"
17,The Portage la Prairie Mutual Insurance Company,2018,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,029"
18,The Portage la Prairie Mutual Insurance Company,2018,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"41,726"
19,The Portage la Prairie Mutual Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
0,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"139,657"
1,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
2,The Portage la Prairie Mutual Insurance Company,2018,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
4,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"11,999"
5,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"18,115"
6,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Interest rate risk,"4,048"
9,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Equity risk,"18,371"
11,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Real estate risk,158
12,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Other market risk exposures,173
13,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"4,769"
14,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,0
15,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"10,110"
17,The Portage la Prairie Mutual Insurance Company,2018,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,704"
18,The Portage la Prairie Mutual Insurance Company,2018,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"40,026"
19,The Portage la Prairie Mutual Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"268,689"
1,Primmum Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
