,Company,Year,Quarter,Assets L1,Assets L2,Value
2,The Guarantee Company of North America,2017,Q1,Assets held for sale,Assets held for sale,0
3,The Guarantee Company of North America,2017,Q1,Investments,Short Term Investments,"173,058"
4,The Guarantee Company of North America,2017,Q1,Investments,Bonds and Debentures,"340,147"
5,The Guarantee Company of North America,2017,Q1,Investments,Mortgage Loans,"2,458"
6,The Guarantee Company of North America,2017,Q1,Investments,Preferred Shares,"411,923"
7,The Guarantee Company of North America,2017,Q1,Investments,Common Shares,"181,291"
8,The Guarantee Company of North America,2017,Q1,Investments,Investment Properties,0
9,The Guarantee Company of North America,2017,Q1,Investments,Other Loans and Invested Assets,0
10,The Guarantee Company of North America,2017,Q1,Receivables,Unaffiliated Agents and Brokers,"28,883"
11,The Guarantee Company of North America,2017,Q1,Receivables,Policyholders,0
12,The Guarantee Company of North America,2017,Q1,Receivables,Instalment Premiums,"28,289"
13,The Guarantee Company of North America,2017,Q1,Receivables,Other Insurers,"21,779"
14,The Guarantee Company of North America,2017,Q1,Receivables,"Facility Association and the ""P.R.R."" ","1,477"
15,The Guarantee Company of North America,2017,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures","27,748"
16,The Guarantee Company of North America,2017,Q1,Receivables,Other Receivables,"13,213"
17,The Guarantee Company of North America,2017,Q1,Receivables from Reinsurers,Unearned Premiums,"54,127"
18,The Guarantee Company of North America,2017,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"170,346"
19,The Guarantee Company of North America,2017,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"20,587"
20,The Guarantee Company of North America,2017,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,The Guarantee Company of North America,2017,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,The Guarantee Company of North America,2017,Q1,Property and Equipment,Property and Equipment,"3,400"
23,The Guarantee Company of North America,2017,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"71,862"
24,The Guarantee Company of North America,2017,Q1,Current Tax Assets,Current Tax Assets,0
25,The Guarantee Company of North America,2017,Q1,Deferred Tax Assets,Deferred Tax Assets,"6,855"
26,The Guarantee Company of North America,2017,Q1,Goodwill,Goodwill,"8,188"
27,The Guarantee Company of North America,2017,Q1,Intangible Assets,Intangible Assets,199
28,The Guarantee Company of North America,2017,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,The Guarantee Company of North America,2017,Q1,Other Assets ,Other Assets ,708
0,Heartland Farm Mutual Inc.,2020,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"56,754"
1,Heartland Farm Mutual Inc.,2020,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,828
2,Heartland Farm Mutual Inc.,2020,Q3,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2020,Q3,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2020,Q3,Investments,Bonds and Debentures,"118,214"
5,Heartland Farm Mutual Inc.,2020,Q3,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2020,Q3,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2020,Q3,Investments,Common Shares,"38,484"
8,Heartland Farm Mutual Inc.,2020,Q3,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2020,Q3,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2020,Q3,Receivables,Unaffiliated Agents and Brokers,"3,618"
11,Heartland Farm Mutual Inc.,2020,Q3,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2020,Q3,Receivables,Instalment Premiums,"29,051"
13,Heartland Farm Mutual Inc.,2020,Q3,Receivables,Other Insurers,"1,592"
14,Heartland Farm Mutual Inc.,2020,Q3,Receivables,"Facility Association and the ""P.R.R."" ",354
15,Heartland Farm Mutual Inc.,2020,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2020,Q3,Receivables,Other Receivables,"1,370"
17,Heartland Farm Mutual Inc.,2020,Q3,Receivables from Reinsurers,Unearned Premiums,568
18,Heartland Farm Mutual Inc.,2020,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"29,213"
19,Heartland Farm Mutual Inc.,2020,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2020,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2020,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2020,Q3,Property and Equipment,Property and Equipment,"6,887"
23,Heartland Farm Mutual Inc.,2020,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"13,799"
24,Heartland Farm Mutual Inc.,2020,Q3,Current Tax Assets,Current Tax Assets,0
25,Heartland Farm Mutual Inc.,2020,Q3,Deferred Tax Assets,Deferred Tax Assets,614
26,Heartland Farm Mutual Inc.,2020,Q3,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2020,Q3,Intangible Assets,Intangible Assets,"11,683"
28,Heartland Farm Mutual Inc.,2020,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2020,Q3,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2020,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,"57,484"
1,Heartland Farm Mutual Inc.,2020,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,639
2,Heartland Farm Mutual Inc.,2020,Q2,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2020,Q2,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2020,Q2,Investments,Bonds and Debentures,"117,287"
5,Heartland Farm Mutual Inc.,2020,Q2,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2020,Q2,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2020,Q2,Investments,Common Shares,"33,155"
8,Heartland Farm Mutual Inc.,2020,Q2,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2020,Q2,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2020,Q2,Receivables,Unaffiliated Agents and Brokers,"4,993"
11,Heartland Farm Mutual Inc.,2020,Q2,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2020,Q2,Receivables,Instalment Premiums,"27,435"
13,Heartland Farm Mutual Inc.,2020,Q2,Receivables,Other Insurers,"1,702"
14,Heartland Farm Mutual Inc.,2020,Q2,Receivables,"Facility Association and the ""P.R.R."" ",212
15,Heartland Farm Mutual Inc.,2020,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2020,Q2,Receivables,Other Receivables,"1,065"
17,Heartland Farm Mutual Inc.,2020,Q2,Receivables from Reinsurers,Unearned Premiums,604
18,Heartland Farm Mutual Inc.,2020,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"30,453"
19,Heartland Farm Mutual Inc.,2020,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2020,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2020,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2020,Q2,Property and Equipment,Property and Equipment,"7,023"
23,Heartland Farm Mutual Inc.,2020,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"13,604"
24,Heartland Farm Mutual Inc.,2020,Q2,Current Tax Assets,Current Tax Assets,0
25,Heartland Farm Mutual Inc.,2020,Q2,Deferred Tax Assets,Deferred Tax Assets,614
26,Heartland Farm Mutual Inc.,2020,Q2,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2020,Q2,Intangible Assets,Intangible Assets,"8,212"
28,Heartland Farm Mutual Inc.,2020,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2020,Q2,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2020,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,"59,598"
1,Heartland Farm Mutual Inc.,2020,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,837
2,Heartland Farm Mutual Inc.,2020,Q1,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2020,Q1,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2020,Q1,Investments,Bonds and Debentures,"109,627"
5,Heartland Farm Mutual Inc.,2020,Q1,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2020,Q1,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2020,Q1,Investments,Common Shares,"27,401"
8,Heartland Farm Mutual Inc.,2020,Q1,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2020,Q1,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2020,Q1,Receivables,Unaffiliated Agents and Brokers,"4,099"
11,Heartland Farm Mutual Inc.,2020,Q1,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2020,Q1,Receivables,Instalment Premiums,"24,837"
13,Heartland Farm Mutual Inc.,2020,Q1,Receivables,Other Insurers,"2,544"
14,Heartland Farm Mutual Inc.,2020,Q1,Receivables,"Facility Association and the ""P.R.R."" ",197
15,Heartland Farm Mutual Inc.,2020,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2020,Q1,Receivables,Other Receivables,950
17,Heartland Farm Mutual Inc.,2020,Q1,Receivables from Reinsurers,Unearned Premiums,656
18,Heartland Farm Mutual Inc.,2020,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"33,397"
19,Heartland Farm Mutual Inc.,2020,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2020,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2020,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2020,Q1,Property and Equipment,Property and Equipment,"7,011"
23,Heartland Farm Mutual Inc.,2020,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"12,339"
24,Heartland Farm Mutual Inc.,2020,Q1,Current Tax Assets,Current Tax Assets,0
25,Heartland Farm Mutual Inc.,2020,Q1,Deferred Tax Assets,Deferred Tax Assets,614
26,Heartland Farm Mutual Inc.,2020,Q1,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2020,Q1,Intangible Assets,Intangible Assets,"4,600"
28,Heartland Farm Mutual Inc.,2020,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2020,Q1,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2019,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"68,744"
1,Heartland Farm Mutual Inc.,2019,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,676
2,Heartland Farm Mutual Inc.,2019,Q4,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2019,Q4,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2019,Q4,Investments,Bonds and Debentures,"108,731"
5,Heartland Farm Mutual Inc.,2019,Q4,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2019,Q4,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2019,Q4,Investments,Common Shares,"34,720"
8,Heartland Farm Mutual Inc.,2019,Q4,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2019,Q4,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2019,Q4,Receivables,Unaffiliated Agents and Brokers,"4,171"
11,Heartland Farm Mutual Inc.,2019,Q4,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2019,Q4,Receivables,Instalment Premiums,"27,576"
13,Heartland Farm Mutual Inc.,2019,Q4,Receivables,Other Insurers,"1,619"
14,Heartland Farm Mutual Inc.,2019,Q4,Receivables,"Facility Association and the ""P.R.R."" ",204
15,Heartland Farm Mutual Inc.,2019,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2019,Q4,Receivables,Other Receivables,"1,064"
17,Heartland Farm Mutual Inc.,2019,Q4,Receivables from Reinsurers,Unearned Premiums,900
18,Heartland Farm Mutual Inc.,2019,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"32,868"
19,Heartland Farm Mutual Inc.,2019,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2019,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2019,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2019,Q4,Property and Equipment,Property and Equipment,"7,131"
23,Heartland Farm Mutual Inc.,2019,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"13,504"
24,Heartland Farm Mutual Inc.,2019,Q4,Current Tax Assets,Current Tax Assets,0
25,Heartland Farm Mutual Inc.,2019,Q4,Deferred Tax Assets,Deferred Tax Assets,614
26,Heartland Farm Mutual Inc.,2019,Q4,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2019,Q4,Intangible Assets,Intangible Assets,"2,835"
28,Heartland Farm Mutual Inc.,2019,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2019,Q4,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2019,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"62,079"
1,Heartland Farm Mutual Inc.,2019,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,891
2,Heartland Farm Mutual Inc.,2019,Q3,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2019,Q3,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2019,Q3,Investments,Bonds and Debentures,"111,072"
5,Heartland Farm Mutual Inc.,2019,Q3,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2019,Q3,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2019,Q3,Investments,Common Shares,"33,894"
8,Heartland Farm Mutual Inc.,2019,Q3,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2019,Q3,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2019,Q3,Receivables,Unaffiliated Agents and Brokers,"4,305"
11,Heartland Farm Mutual Inc.,2019,Q3,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2019,Q3,Receivables,Instalment Premiums,"27,630"
13,Heartland Farm Mutual Inc.,2019,Q3,Receivables,Other Insurers,"2,696"
14,Heartland Farm Mutual Inc.,2019,Q3,Receivables,"Facility Association and the ""P.R.R."" ",283
15,Heartland Farm Mutual Inc.,2019,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2019,Q3,Receivables,Other Receivables,"1,247"
17,Heartland Farm Mutual Inc.,2019,Q3,Receivables from Reinsurers,Unearned Premiums,"1,031"
18,Heartland Farm Mutual Inc.,2019,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"30,206"
19,Heartland Farm Mutual Inc.,2019,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2019,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2019,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2019,Q3,Property and Equipment,Property and Equipment,"7,399"
23,Heartland Farm Mutual Inc.,2019,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"10,582"
24,Heartland Farm Mutual Inc.,2019,Q3,Current Tax Assets,Current Tax Assets,0
25,Heartland Farm Mutual Inc.,2019,Q3,Deferred Tax Assets,Deferred Tax Assets,"1,088"
26,Heartland Farm Mutual Inc.,2019,Q3,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2019,Q3,Intangible Assets,Intangible Assets,94
28,Heartland Farm Mutual Inc.,2019,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2019,Q3,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2019,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,"62,996"
1,Heartland Farm Mutual Inc.,2019,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,475
2,Heartland Farm Mutual Inc.,2019,Q2,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2019,Q2,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2019,Q2,Investments,Bonds and Debentures,"109,382"
5,Heartland Farm Mutual Inc.,2019,Q2,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2019,Q2,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2019,Q2,Investments,Common Shares,"33,108"
8,Heartland Farm Mutual Inc.,2019,Q2,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2019,Q2,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2019,Q2,Receivables,Unaffiliated Agents and Brokers,"5,066"
11,Heartland Farm Mutual Inc.,2019,Q2,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2019,Q2,Receivables,Instalment Premiums,"25,987"
13,Heartland Farm Mutual Inc.,2019,Q2,Receivables,Other Insurers,"1,097"
14,Heartland Farm Mutual Inc.,2019,Q2,Receivables,"Facility Association and the ""P.R.R."" ",239
15,Heartland Farm Mutual Inc.,2019,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2019,Q2,Receivables,Other Receivables,507
17,Heartland Farm Mutual Inc.,2019,Q2,Receivables from Reinsurers,Unearned Premiums,946
18,Heartland Farm Mutual Inc.,2019,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"31,343"
19,Heartland Farm Mutual Inc.,2019,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2019,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2019,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2019,Q2,Property and Equipment,Property and Equipment,"7,681"
23,Heartland Farm Mutual Inc.,2019,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"10,760"
24,Heartland Farm Mutual Inc.,2019,Q2,Current Tax Assets,Current Tax Assets,766
25,Heartland Farm Mutual Inc.,2019,Q2,Deferred Tax Assets,Deferred Tax Assets,"1,088"
26,Heartland Farm Mutual Inc.,2019,Q2,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2019,Q2,Intangible Assets,Intangible Assets,122
28,Heartland Farm Mutual Inc.,2019,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2019,Q2,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2019,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,"59,229"
1,Heartland Farm Mutual Inc.,2019,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,800
2,Heartland Farm Mutual Inc.,2019,Q1,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2019,Q1,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2019,Q1,Investments,Bonds and Debentures,"108,316"
5,Heartland Farm Mutual Inc.,2019,Q1,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2019,Q1,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2019,Q1,Investments,Common Shares,"33,077"
8,Heartland Farm Mutual Inc.,2019,Q1,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2019,Q1,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2019,Q1,Receivables,Unaffiliated Agents and Brokers,"4,650"
11,Heartland Farm Mutual Inc.,2019,Q1,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2019,Q1,Receivables,Instalment Premiums,"23,437"
13,Heartland Farm Mutual Inc.,2019,Q1,Receivables,Other Insurers,"1,573"
14,Heartland Farm Mutual Inc.,2019,Q1,Receivables,"Facility Association and the ""P.R.R."" ",158
15,Heartland Farm Mutual Inc.,2019,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2019,Q1,Receivables,Other Receivables,440
17,Heartland Farm Mutual Inc.,2019,Q1,Receivables from Reinsurers,Unearned Premiums,920
18,Heartland Farm Mutual Inc.,2019,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"29,775"
19,Heartland Farm Mutual Inc.,2019,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2019,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2019,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2019,Q1,Property and Equipment,Property and Equipment,"7,852"
23,Heartland Farm Mutual Inc.,2019,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"10,155"
24,Heartland Farm Mutual Inc.,2019,Q1,Current Tax Assets,Current Tax Assets,"1,319"
25,Heartland Farm Mutual Inc.,2019,Q1,Deferred Tax Assets,Deferred Tax Assets,"1,088"
26,Heartland Farm Mutual Inc.,2019,Q1,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2019,Q1,Intangible Assets,Intangible Assets,155
28,Heartland Farm Mutual Inc.,2019,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2019,Q1,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2018,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,"56,663"
1,Heartland Farm Mutual Inc.,2018,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,528
2,Heartland Farm Mutual Inc.,2018,Q4,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2018,Q4,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2018,Q4,Investments,Bonds and Debentures,"106,505"
5,Heartland Farm Mutual Inc.,2018,Q4,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2018,Q4,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2018,Q4,Investments,Common Shares,"35,097"
8,Heartland Farm Mutual Inc.,2018,Q4,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2018,Q4,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2018,Q4,Receivables,Unaffiliated Agents and Brokers,"4,484"
11,Heartland Farm Mutual Inc.,2018,Q4,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2018,Q4,Receivables,Instalment Premiums,"27,559"
13,Heartland Farm Mutual Inc.,2018,Q4,Receivables,Other Insurers,301
14,Heartland Farm Mutual Inc.,2018,Q4,Receivables,"Facility Association and the ""P.R.R."" ",122
15,Heartland Farm Mutual Inc.,2018,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2018,Q4,Receivables,Other Receivables,969
17,Heartland Farm Mutual Inc.,2018,Q4,Receivables from Reinsurers,Unearned Premiums,"1,100"
18,Heartland Farm Mutual Inc.,2018,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"24,875"
19,Heartland Farm Mutual Inc.,2018,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2018,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2018,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2018,Q4,Property and Equipment,Property and Equipment,"7,925"
23,Heartland Farm Mutual Inc.,2018,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"11,936"
24,Heartland Farm Mutual Inc.,2018,Q4,Current Tax Assets,Current Tax Assets,"1,367"
25,Heartland Farm Mutual Inc.,2018,Q4,Deferred Tax Assets,Deferred Tax Assets,"1,088"
26,Heartland Farm Mutual Inc.,2018,Q4,Goodwill,Goodwill,0
27,Heartland Farm Mutual Inc.,2018,Q4,Intangible Assets,Intangible Assets,198
28,Heartland Farm Mutual Inc.,2018,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
29,Heartland Farm Mutual Inc.,2018,Q4,Other Assets ,Other Assets ,0
0,Heartland Farm Mutual Inc.,2018,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"37,340"
1,Heartland Farm Mutual Inc.,2018,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,774
2,Heartland Farm Mutual Inc.,2018,Q3,Assets held for sale,Assets held for sale,0
3,Heartland Farm Mutual Inc.,2018,Q3,Investments,Short Term Investments,0
4,Heartland Farm Mutual Inc.,2018,Q3,Investments,Bonds and Debentures,"105,017"
5,Heartland Farm Mutual Inc.,2018,Q3,Investments,Mortgage Loans,0
6,Heartland Farm Mutual Inc.,2018,Q3,Investments,Preferred Shares,0
7,Heartland Farm Mutual Inc.,2018,Q3,Investments,Common Shares,"49,042"
8,Heartland Farm Mutual Inc.,2018,Q3,Investments,Investment Properties,480
9,Heartland Farm Mutual Inc.,2018,Q3,Investments,Other Loans and Invested Assets,0
10,Heartland Farm Mutual Inc.,2018,Q3,Receivables,Unaffiliated Agents and Brokers,"4,407"
11,Heartland Farm Mutual Inc.,2018,Q3,Receivables,Policyholders,0
12,Heartland Farm Mutual Inc.,2018,Q3,Receivables,Instalment Premiums,"28,406"
13,Heartland Farm Mutual Inc.,2018,Q3,Receivables,Other Insurers,"2,925"
14,Heartland Farm Mutual Inc.,2018,Q3,Receivables,"Facility Association and the ""P.R.R."" ",111
15,Heartland Farm Mutual Inc.,2018,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",0
16,Heartland Farm Mutual Inc.,2018,Q3,Receivables,Other Receivables,"2,632"
17,Heartland Farm Mutual Inc.,2018,Q3,Receivables from Reinsurers,Unearned Premiums,"1,102"
18,Heartland Farm Mutual Inc.,2018,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"22,286"
19,Heartland Farm Mutual Inc.,2018,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
20,Heartland Farm Mutual Inc.,2018,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
21,Heartland Farm Mutual Inc.,2018,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
22,Heartland Farm Mutual Inc.,2018,Q3,Property and Equipment,Property and Equipment,"8,113"
23,Heartland Farm Mutual Inc.,2018,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"14,293"
