Company,Year,Quarter,Assets L1,Assets L2,Value
Northbridge General Insurance Corporation,2017,Q1,Other Assets ,Other Assets ,9534
Novex Insurance Company,2020,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,10491
Novex Insurance Company,2020,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2020,Q3,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2020,Q3,Investments,Short Term Investments,0
Novex Insurance Company,2020,Q3,Investments,Bonds and Debentures,0
Novex Insurance Company,2020,Q3,Investments,Mortgage Loans,0
Novex Insurance Company,2020,Q3,Investments,Preferred Shares,0
Novex Insurance Company,2020,Q3,Investments,Common Shares,0
Novex Insurance Company,2020,Q3,Investments,Investment Properties,160
Novex Insurance Company,2020,Q3,Investments,Other Loans and Invested Assets,636789
Novex Insurance Company,2020,Q3,Receivables,Unaffiliated Agents and Brokers,6992
Novex Insurance Company,2020,Q3,Receivables,Policyholders,0
Novex Insurance Company,2020,Q3,Receivables,Instalment Premiums,162649
Novex Insurance Company,2020,Q3,Receivables,Other Insurers,99
Novex Insurance Company,2020,Q3,Receivables,"Facility Association and the ""P.R.R."" ",19256
Novex Insurance Company,2020,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",26129
Novex Insurance Company,2020,Q3,Receivables,Other Receivables,2598
Novex Insurance Company,2020,Q3,Receivables from Reinsurers,Unearned Premiums,124768
Novex Insurance Company,2020,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,281686
Novex Insurance Company,2020,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2020,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2020,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2020,Q3,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2020,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,76582
Novex Insurance Company,2020,Q3,Current Tax Assets,Current Tax Assets,345
Novex Insurance Company,2020,Q3,Deferred Tax Assets,Deferred Tax Assets,5798
Novex Insurance Company,2020,Q3,Goodwill,Goodwill,14643
Novex Insurance Company,2020,Q3,Intangible Assets,Intangible Assets,1935
Novex Insurance Company,2020,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2020,Q3,Other Assets ,Other Assets ,1315
Novex Insurance Company,2020,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,8935
Novex Insurance Company,2020,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2020,Q2,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2020,Q2,Investments,Short Term Investments,0
Novex Insurance Company,2020,Q2,Investments,Bonds and Debentures,0
Novex Insurance Company,2020,Q2,Investments,Mortgage Loans,0
Novex Insurance Company,2020,Q2,Investments,Preferred Shares,0
Novex Insurance Company,2020,Q2,Investments,Common Shares,0
Novex Insurance Company,2020,Q2,Investments,Investment Properties,164
Novex Insurance Company,2020,Q2,Investments,Other Loans and Invested Assets,621410
Novex Insurance Company,2020,Q2,Receivables,Unaffiliated Agents and Brokers,5889
Novex Insurance Company,2020,Q2,Receivables,Policyholders,0
Novex Insurance Company,2020,Q2,Receivables,Instalment Premiums,178780
Novex Insurance Company,2020,Q2,Receivables,Other Insurers,116
Novex Insurance Company,2020,Q2,Receivables,"Facility Association and the ""P.R.R."" ",16011
Novex Insurance Company,2020,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",9172
Novex Insurance Company,2020,Q2,Receivables,Other Receivables,3316
Novex Insurance Company,2020,Q2,Receivables from Reinsurers,Unearned Premiums,147710
Novex Insurance Company,2020,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,279408
Novex Insurance Company,2020,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2020,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2020,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2020,Q2,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2020,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,77716
Novex Insurance Company,2020,Q2,Current Tax Assets,Current Tax Assets,813
Novex Insurance Company,2020,Q2,Deferred Tax Assets,Deferred Tax Assets,3877
Novex Insurance Company,2020,Q2,Goodwill,Goodwill,24305
Novex Insurance Company,2020,Q2,Intangible Assets,Intangible Assets,9727
Novex Insurance Company,2020,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2020,Q2,Other Assets ,Other Assets ,980
Novex Insurance Company,2020,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,13998
Novex Insurance Company,2020,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2020,Q1,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2020,Q1,Investments,Short Term Investments,0
Novex Insurance Company,2020,Q1,Investments,Bonds and Debentures,0
Novex Insurance Company,2020,Q1,Investments,Mortgage Loans,0
Novex Insurance Company,2020,Q1,Investments,Preferred Shares,0
Novex Insurance Company,2020,Q1,Investments,Common Shares,0
Novex Insurance Company,2020,Q1,Investments,Investment Properties,169
Novex Insurance Company,2020,Q1,Investments,Other Loans and Invested Assets,590520
Novex Insurance Company,2020,Q1,Receivables,Unaffiliated Agents and Brokers,3030
Novex Insurance Company,2020,Q1,Receivables,Policyholders,0
Novex Insurance Company,2020,Q1,Receivables,Instalment Premiums,158908
Novex Insurance Company,2020,Q1,Receivables,Other Insurers,206
Novex Insurance Company,2020,Q1,Receivables,"Facility Association and the ""P.R.R."" ",14736
Novex Insurance Company,2020,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",6215
Novex Insurance Company,2020,Q1,Receivables,Other Receivables,4065
Novex Insurance Company,2020,Q1,Receivables from Reinsurers,Unearned Premiums,133064
Novex Insurance Company,2020,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,269504
Novex Insurance Company,2020,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2020,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2020,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2020,Q1,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2020,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,70829
Novex Insurance Company,2020,Q1,Current Tax Assets,Current Tax Assets,8061
Novex Insurance Company,2020,Q1,Deferred Tax Assets,Deferred Tax Assets,3505
Novex Insurance Company,2020,Q1,Goodwill,Goodwill,24305
Novex Insurance Company,2020,Q1,Intangible Assets,Intangible Assets,10033
Novex Insurance Company,2020,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2020,Q1,Other Assets ,Other Assets ,1342
Novex Insurance Company,2019,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,8181
Novex Insurance Company,2019,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2019,Q4,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2019,Q4,Investments,Short Term Investments,0
Novex Insurance Company,2019,Q4,Investments,Bonds and Debentures,0
Novex Insurance Company,2019,Q4,Investments,Mortgage Loans,0
Novex Insurance Company,2019,Q4,Investments,Preferred Shares,0
Novex Insurance Company,2019,Q4,Investments,Common Shares,0
Novex Insurance Company,2019,Q4,Investments,Investment Properties,171
Novex Insurance Company,2019,Q4,Investments,Other Loans and Invested Assets,610149
Novex Insurance Company,2019,Q4,Receivables,Unaffiliated Agents and Brokers,3863
Novex Insurance Company,2019,Q4,Receivables,Policyholders,0
Novex Insurance Company,2019,Q4,Receivables,Instalment Premiums,174761
Novex Insurance Company,2019,Q4,Receivables,Other Insurers,31
Novex Insurance Company,2019,Q4,Receivables,"Facility Association and the ""P.R.R."" ",15876
Novex Insurance Company,2019,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",10760
Novex Insurance Company,2019,Q4,Receivables,Other Receivables,5374
Novex Insurance Company,2019,Q4,Receivables from Reinsurers,Unearned Premiums,143244
Novex Insurance Company,2019,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,257602
Novex Insurance Company,2019,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2019,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2019,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2019,Q4,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2019,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,75411
Novex Insurance Company,2019,Q4,Current Tax Assets,Current Tax Assets,0
Novex Insurance Company,2019,Q4,Deferred Tax Assets,Deferred Tax Assets,3443
Novex Insurance Company,2019,Q4,Goodwill,Goodwill,24305
Novex Insurance Company,2019,Q4,Intangible Assets,Intangible Assets,10338
Novex Insurance Company,2019,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2019,Q4,Other Assets ,Other Assets ,1435
Novex Insurance Company,2019,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,7343
Novex Insurance Company,2019,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2019,Q3,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2019,Q3,Investments,Short Term Investments,0
Novex Insurance Company,2019,Q3,Investments,Bonds and Debentures,0
Novex Insurance Company,2019,Q3,Investments,Mortgage Loans,0
Novex Insurance Company,2019,Q3,Investments,Preferred Shares,0
Novex Insurance Company,2019,Q3,Investments,Common Shares,0
Novex Insurance Company,2019,Q3,Investments,Investment Properties,175
Novex Insurance Company,2019,Q3,Investments,Other Loans and Invested Assets,599778
Novex Insurance Company,2019,Q3,Receivables,Unaffiliated Agents and Brokers,3709
Novex Insurance Company,2019,Q3,Receivables,Policyholders,0
Novex Insurance Company,2019,Q3,Receivables,Instalment Premiums,183355
Novex Insurance Company,2019,Q3,Receivables,Other Insurers,29
Novex Insurance Company,2019,Q3,Receivables,"Facility Association and the ""P.R.R."" ",14850
Novex Insurance Company,2019,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",10969
Novex Insurance Company,2019,Q3,Receivables,Other Receivables,6897
Novex Insurance Company,2019,Q3,Receivables from Reinsurers,Unearned Premiums,148340
Novex Insurance Company,2019,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,257862
Novex Insurance Company,2019,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2019,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2019,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2019,Q3,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2019,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,75900
Novex Insurance Company,2019,Q3,Current Tax Assets,Current Tax Assets,0
Novex Insurance Company,2019,Q3,Deferred Tax Assets,Deferred Tax Assets,2924
Novex Insurance Company,2019,Q3,Goodwill,Goodwill,24305
Novex Insurance Company,2019,Q3,Intangible Assets,Intangible Assets,10644
Novex Insurance Company,2019,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2019,Q3,Other Assets ,Other Assets ,1045
Novex Insurance Company,2019,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,8116
Novex Insurance Company,2019,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2019,Q2,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2019,Q2,Investments,Short Term Investments,0
Novex Insurance Company,2019,Q2,Investments,Bonds and Debentures,0
Novex Insurance Company,2019,Q2,Investments,Mortgage Loans,0
Novex Insurance Company,2019,Q2,Investments,Preferred Shares,0
Novex Insurance Company,2019,Q2,Investments,Common Shares,0
Novex Insurance Company,2019,Q2,Investments,Investment Properties,179
Novex Insurance Company,2019,Q2,Investments,Other Loans and Invested Assets,593764
Novex Insurance Company,2019,Q2,Receivables,Unaffiliated Agents and Brokers,5676
Novex Insurance Company,2019,Q2,Receivables,Policyholders,0
Novex Insurance Company,2019,Q2,Receivables,Instalment Premiums,175532
Novex Insurance Company,2019,Q2,Receivables,Other Insurers,29
Novex Insurance Company,2019,Q2,Receivables,"Facility Association and the ""P.R.R."" ",13314
Novex Insurance Company,2019,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",7678
Novex Insurance Company,2019,Q2,Receivables,Other Receivables,2833
Novex Insurance Company,2019,Q2,Receivables from Reinsurers,Unearned Premiums,138637
Novex Insurance Company,2019,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,252127
Novex Insurance Company,2019,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2019,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2019,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2019,Q2,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2019,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,72304
Novex Insurance Company,2019,Q2,Current Tax Assets,Current Tax Assets,496
Novex Insurance Company,2019,Q2,Deferred Tax Assets,Deferred Tax Assets,2927
Novex Insurance Company,2019,Q2,Goodwill,Goodwill,24305
Novex Insurance Company,2019,Q2,Intangible Assets,Intangible Assets,10949
Novex Insurance Company,2019,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2019,Q2,Other Assets ,Other Assets ,650
Novex Insurance Company,2019,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,4914
Novex Insurance Company,2019,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2019,Q1,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2019,Q1,Investments,Short Term Investments,0
Novex Insurance Company,2019,Q1,Investments,Bonds and Debentures,0
Novex Insurance Company,2019,Q1,Investments,Mortgage Loans,0
Novex Insurance Company,2019,Q1,Investments,Preferred Shares,0
Novex Insurance Company,2019,Q1,Investments,Common Shares,0
Novex Insurance Company,2019,Q1,Investments,Investment Properties,183
Novex Insurance Company,2019,Q1,Investments,Other Loans and Invested Assets,599600
Novex Insurance Company,2019,Q1,Receivables,Unaffiliated Agents and Brokers,2607
Novex Insurance Company,2019,Q1,Receivables,Policyholders,0
Novex Insurance Company,2019,Q1,Receivables,Instalment Premiums,151000
Novex Insurance Company,2019,Q1,Receivables,Other Insurers,28
Novex Insurance Company,2019,Q1,Receivables,"Facility Association and the ""P.R.R."" ",12952
Novex Insurance Company,2019,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",3267
Novex Insurance Company,2019,Q1,Receivables,Other Receivables,2780
Novex Insurance Company,2019,Q1,Receivables from Reinsurers,Unearned Premiums,121113
Novex Insurance Company,2019,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,251048
Novex Insurance Company,2019,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2019,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2019,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2019,Q1,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2019,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,64664
Novex Insurance Company,2019,Q1,Current Tax Assets,Current Tax Assets,433
Novex Insurance Company,2019,Q1,Deferred Tax Assets,Deferred Tax Assets,2938
Novex Insurance Company,2019,Q1,Goodwill,Goodwill,24305
Novex Insurance Company,2019,Q1,Intangible Assets,Intangible Assets,11255
Novex Insurance Company,2019,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2019,Q1,Other Assets ,Other Assets ,640
Novex Insurance Company,2018,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,3164
Novex Insurance Company,2018,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2018,Q4,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2018,Q4,Investments,Short Term Investments,0
Novex Insurance Company,2018,Q4,Investments,Bonds and Debentures,0
Novex Insurance Company,2018,Q4,Investments,Mortgage Loans,0
Novex Insurance Company,2018,Q4,Investments,Preferred Shares,0
Novex Insurance Company,2018,Q4,Investments,Common Shares,0
Novex Insurance Company,2018,Q4,Investments,Investment Properties,186
Novex Insurance Company,2018,Q4,Investments,Other Loans and Invested Assets,583740
Novex Insurance Company,2018,Q4,Receivables,Unaffiliated Agents and Brokers,6630
Novex Insurance Company,2018,Q4,Receivables,Policyholders,0
Novex Insurance Company,2018,Q4,Receivables,Instalment Premiums,163445
Novex Insurance Company,2018,Q4,Receivables,Other Insurers,4
Novex Insurance Company,2018,Q4,Receivables,"Facility Association and the ""P.R.R."" ",12742
Novex Insurance Company,2018,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",5992
Novex Insurance Company,2018,Q4,Receivables,Other Receivables,2948
Novex Insurance Company,2018,Q4,Receivables from Reinsurers,Unearned Premiums,126146
Novex Insurance Company,2018,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,246557
Novex Insurance Company,2018,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2018,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2018,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2018,Q4,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2018,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,68116
Novex Insurance Company,2018,Q4,Current Tax Assets,Current Tax Assets,4176
Novex Insurance Company,2018,Q4,Deferred Tax Assets,Deferred Tax Assets,2844
Novex Insurance Company,2018,Q4,Goodwill,Goodwill,24305
Novex Insurance Company,2018,Q4,Intangible Assets,Intangible Assets,11560
Novex Insurance Company,2018,Q4,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2018,Q4,Other Assets ,Other Assets ,0
Novex Insurance Company,2018,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,7624
Novex Insurance Company,2018,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2018,Q3,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2018,Q3,Investments,Short Term Investments,0
Novex Insurance Company,2018,Q3,Investments,Bonds and Debentures,0
Novex Insurance Company,2018,Q3,Investments,Mortgage Loans,0
Novex Insurance Company,2018,Q3,Investments,Preferred Shares,0
Novex Insurance Company,2018,Q3,Investments,Common Shares,0
Novex Insurance Company,2018,Q3,Investments,Investment Properties,190
Novex Insurance Company,2018,Q3,Investments,Other Loans and Invested Assets,586354
Novex Insurance Company,2018,Q3,Receivables,Unaffiliated Agents and Brokers,3853
Novex Insurance Company,2018,Q3,Receivables,Policyholders,0
Novex Insurance Company,2018,Q3,Receivables,Instalment Premiums,170954
Novex Insurance Company,2018,Q3,Receivables,Other Insurers,36
Novex Insurance Company,2018,Q3,Receivables,"Facility Association and the ""P.R.R."" ",13586
Novex Insurance Company,2018,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",5971
Novex Insurance Company,2018,Q3,Receivables,Other Receivables,2733
Novex Insurance Company,2018,Q3,Receivables from Reinsurers,Unearned Premiums,123810
Novex Insurance Company,2018,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,239571
Novex Insurance Company,2018,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2018,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2018,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2018,Q3,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2018,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,68997
Novex Insurance Company,2018,Q3,Current Tax Assets,Current Tax Assets,3217
Novex Insurance Company,2018,Q3,Deferred Tax Assets,Deferred Tax Assets,2831
Novex Insurance Company,2018,Q3,Goodwill,Goodwill,24305
Novex Insurance Company,2018,Q3,Intangible Assets,Intangible Assets,11866
Novex Insurance Company,2018,Q3,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2018,Q3,Other Assets ,Other Assets ,788
Novex Insurance Company,2018,Q2,Cash and Cash Equivalents,Cash and Cash Equivalents,7575
Novex Insurance Company,2018,Q2,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2018,Q2,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2018,Q2,Investments,Short Term Investments,0
Novex Insurance Company,2018,Q2,Investments,Bonds and Debentures,0
Novex Insurance Company,2018,Q2,Investments,Mortgage Loans,0
Novex Insurance Company,2018,Q2,Investments,Preferred Shares,0
Novex Insurance Company,2018,Q2,Investments,Common Shares,0
Novex Insurance Company,2018,Q2,Investments,Investment Properties,194
Novex Insurance Company,2018,Q2,Investments,Other Loans and Invested Assets,578316
Novex Insurance Company,2018,Q2,Receivables,Unaffiliated Agents and Brokers,6563
Novex Insurance Company,2018,Q2,Receivables,Policyholders,0
Novex Insurance Company,2018,Q2,Receivables,Instalment Premiums,162962
Novex Insurance Company,2018,Q2,Receivables,Other Insurers,5
Novex Insurance Company,2018,Q2,Receivables,"Facility Association and the ""P.R.R."" ",14830
Novex Insurance Company,2018,Q2,Receivables,"Subsidiaries, Associates & Joint Ventures",6880
Novex Insurance Company,2018,Q2,Receivables,Other Receivables,2811
Novex Insurance Company,2018,Q2,Receivables from Reinsurers,Unearned Premiums,117198
Novex Insurance Company,2018,Q2,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,236686
Novex Insurance Company,2018,Q2,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2018,Q2,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2018,Q2,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2018,Q2,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2018,Q2,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,67160
Novex Insurance Company,2018,Q2,Current Tax Assets,Current Tax Assets,5225
Novex Insurance Company,2018,Q2,Deferred Tax Assets,Deferred Tax Assets,2449
Novex Insurance Company,2018,Q2,Goodwill,Goodwill,24305
Novex Insurance Company,2018,Q2,Intangible Assets,Intangible Assets,12171
Novex Insurance Company,2018,Q2,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2018,Q2,Other Assets ,Other Assets ,761
Novex Insurance Company,2018,Q1,Cash and Cash Equivalents,Cash and Cash Equivalents,4135
Novex Insurance Company,2018,Q1,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2018,Q1,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2018,Q1,Investments,Short Term Investments,0
Novex Insurance Company,2018,Q1,Investments,Bonds and Debentures,0
Novex Insurance Company,2018,Q1,Investments,Mortgage Loans,0
Novex Insurance Company,2018,Q1,Investments,Preferred Shares,0
Novex Insurance Company,2018,Q1,Investments,Common Shares,0
Novex Insurance Company,2018,Q1,Investments,Investment Properties,198
Novex Insurance Company,2018,Q1,Investments,Other Loans and Invested Assets,579882
Novex Insurance Company,2018,Q1,Receivables,Unaffiliated Agents and Brokers,3492
Novex Insurance Company,2018,Q1,Receivables,Policyholders,0
Novex Insurance Company,2018,Q1,Receivables,Instalment Premiums,145691
Novex Insurance Company,2018,Q1,Receivables,Other Insurers,22
Novex Insurance Company,2018,Q1,Receivables,"Facility Association and the ""P.R.R."" ",13499
Novex Insurance Company,2018,Q1,Receivables,"Subsidiaries, Associates & Joint Ventures",2890
Novex Insurance Company,2018,Q1,Receivables,Other Receivables,2893
Novex Insurance Company,2018,Q1,Receivables from Reinsurers,Unearned Premiums,107069
Novex Insurance Company,2018,Q1,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,244097
Novex Insurance Company,2018,Q1,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2018,Q1,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2018,Q1,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2018,Q1,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2018,Q1,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,60737
Novex Insurance Company,2018,Q1,Current Tax Assets,Current Tax Assets,3004
Novex Insurance Company,2018,Q1,Deferred Tax Assets,Deferred Tax Assets,2353
Novex Insurance Company,2018,Q1,Goodwill,Goodwill,24305
Novex Insurance Company,2018,Q1,Intangible Assets,Intangible Assets,12477
Novex Insurance Company,2018,Q1,Defined Benefit Pension Plan,Defined Benefit Pension Plan,0
Novex Insurance Company,2018,Q1,Other Assets ,Other Assets ,1996
Novex Insurance Company,2017,Q4,Cash and Cash Equivalents,Cash and Cash Equivalents,5723
Novex Insurance Company,2017,Q4,Investment Income Due and Accrued,Investment Income Due and Accrued,0
Novex Insurance Company,2017,Q4,Assets held for sale,Assets held for sale,0
Novex Insurance Company,2017,Q4,Investments,Short Term Investments,0
Novex Insurance Company,2017,Q4,Investments,Bonds and Debentures,0
Novex Insurance Company,2017,Q4,Investments,Mortgage Loans,0
Novex Insurance Company,2017,Q4,Investments,Preferred Shares,16
Novex Insurance Company,2017,Q4,Investments,Common Shares,0
Novex Insurance Company,2017,Q4,Investments,Investment Properties,202
Novex Insurance Company,2017,Q4,Investments,Other Loans and Invested Assets,603143
Novex Insurance Company,2017,Q4,Receivables,Unaffiliated Agents and Brokers,4827
Novex Insurance Company,2017,Q4,Receivables,Policyholders,0
Novex Insurance Company,2017,Q4,Receivables,Instalment Premiums,162410
Novex Insurance Company,2017,Q4,Receivables,Other Insurers,19
Novex Insurance Company,2017,Q4,Receivables,"Facility Association and the ""P.R.R."" ",14332
Novex Insurance Company,2017,Q4,Receivables,"Subsidiaries, Associates & Joint Ventures",10567
Novex Insurance Company,2017,Q4,Receivables,Other Receivables,2801
Novex Insurance Company,2017,Q4,Receivables from Reinsurers,Unearned Premiums,131265
Novex Insurance Company,2017,Q4,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,464032
Novex Insurance Company,2017,Q4,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,0
Novex Insurance Company,2017,Q4,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",0
Novex Insurance Company,2017,Q4,Investments Accounted for Using the Equity Method,Pooled Funds,0
Novex Insurance Company,2017,Q4,Property and Equipment,Property and Equipment,0
Novex Insurance Company,2017,Q4,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,70276
Novex Insurance Company,2017,Q4,Current Tax Assets,Current Tax Assets,0
